ID	Len	GC	Group
RF00001_100_43-32	195	0.508	RF00001
RF00001_10_23-31	174	0.437	RF00001
RF00001_11_49-32	202	0.554	RF00001
RF00001_12_45-25	187	0.551	RF00001
RF00001_13_46-19	183	0.579	RF00001
RF00001_14_22-22	168	0.530	RF00001
RF00001_15_44-16	180	0.517	RF00001
RF00001_16_44-47	209	0.555	RF00001
RF00001_17_14-16	152	0.572	RF00001
RF00001_18_47-28	194	0.562	RF00001
RF00001_19_17-17	153	0.510	RF00001
RF00001_1_23-23	160	0.531	RF00001
RF00001_20_21-35	171	0.596	RF00001
RF00001_21_22-34	175	0.497	RF00001
RF00001_22_10-45	172	0.512	RF00001
RF00001_23_49-11	179	0.547	RF00001
RF00001_24_47-12	178	0.522	RF00001
RF00001_25_24-41	174	0.540	RF00001
RF00001_26_43-14	171	0.602	RF00001
RF00001_27_22-41	182	0.593	RF00001
RF00001_28_36-35	184	0.549	RF00001
RF00001_29_38-45	211	0.512	RF00001
RF00001_2_36-45	180	0.517	RF00001
RF00001_30_29-24	172	0.587	RF00001
RF00001_31_11-42	162	0.481	RF00001
RF00001_32_10-24	152	0.618	RF00001
RF00001_33_30-21	170	0.541	RF00001
RF00001_34_12-47	163	0.528	RF00001
RF00001_35_17-40	177	0.689	RF00001
RF00001_36_28-14	161	0.547	RF00001
RF00001_37_33-12	162	0.549	RF00001
RF00001_38_33-46	198	0.561	RF00001
RF00001_39_45-20	181	0.613	RF00001
RF00001_3_19-26	164	0.537	RF00001
RF00001_40_21-32	160	0.450	RF00001
RF00001_41_14-22	153	0.595	RF00001
RF00001_42_42-40	191	0.461	RF00001
RF00001_43_15-28	164	0.524	RF00001
RF00001_44_23-19	159	0.522	RF00001
RF00001_45_15-32	155	0.516	RF00001
RF00001_46_24-25	164	0.598	RF00001
RF00001_47_19-19	157	0.484	RF00001
RF00001_48_22-38	177	0.492	RF00001
RF00001_49_43-49	209	0.498	RF00001
RF00001_4_22-20	153	0.556	RF00001
RF00001_50_32-38	189	0.587	RF00001
RF00001_51_49-49	214	0.519	RF00001
RF00001_52_49-15	187	0.545	RF00001
RF00001_53_49-37	204	0.554	RF00001
RF00001_54_49-38	206	0.534	RF00001
RF00001_55_50-31	201	0.493	RF00001
RF00001_56_14-12	142	0.479	RF00001
RF00001_57_48-36	203	0.507	RF00001
RF00001_58_42-22	181	0.508	RF00001
RF00001_59_32-11	162	0.444	RF00001
RF00001_5_20-29	165	0.533	RF00001
RF00001_60_48-20	183	0.579	RF00001
RF00001_61_18-24	152	0.533	RF00001
RF00001_62_36-23	176	0.591	RF00001
RF00001_63_41-23	175	0.554	RF00001
RF00001_64_33-15	166	0.500	RF00001
RF00001_65_50-27	189	0.534	RF00001
RF00001_66_47-42	205	0.590	RF00001
RF00001_67_18-15	153	0.549	RF00001
RF00001_68_33-12	161	0.596	RF00001
RF00001_69_42-49	210	0.510	RF00001
RF00001_6_20-36	176	0.517	RF00001
RF00001_70_10-46	171	0.520	RF00001
RF00001_71_44-12	173	0.514	RF00001
RF00001_72_37-19	177	0.525	RF00001
RF00001_73_25-19	158	0.589	RF00001
RF00001_74_33-39	182	0.516	RF00001
RF00001_75_42-25	175	0.509	RF00001
RF00001_76_41-21	175	0.583	RF00001
RF00001_77_21-36	177	0.571	RF00001
RF00001_78_12-29	156	0.558	RF00001
RF00001_79_47-36	190	0.511	RF00001
RF00001_7_14-27	141	0.418	RF00001
RF00001_80_50-13	182	0.555	RF00001
RF00001_81_18-29	157	0.561	RF00001
RF00001_82_16-47	170	0.506	RF00001
RF00001_83_39-17	173	0.561	RF00001
RF00001_84_42-27	188	0.511	RF00001
RF00001_85_49-23	179	0.575	RF00001
RF00001_86_25-25	170	0.382	RF00001
RF00001_87_26-48	189	0.556	RF00001
RF00001_88_20-16	154	0.552	RF00001
RF00001_89_44-29	190	0.626	RF00001
RF00001_8_14-19	154	0.604	RF00001
RF00001_90_28-40	189	0.550	RF00001
RF00001_91_10-50	181	0.420	RF00001
RF00001_92_41-36	192	0.521	RF00001
RF00001_93_21-38	177	0.497	RF00001
RF00001_94_32-33	184	0.478	RF00001
RF00001_95_44-47	208	0.418	RF00001
RF00001_96_16-39	170	0.600	RF00001
RF00001_97_20-21	149	0.597	RF00001
RF00001_98_20-25	145	0.517	RF00001
RF00001_99_42-10	173	0.491	RF00001
RF00001_9_11-18	140	0.536	RF00001
RF00002_10_35-38	221	0.543	RF00002
RF00002_11_47-42	204	0.564	RF00002
RF00002_12_24-28	201	0.498	RF00002
RF00002_13_28-33	177	0.650	RF00002
RF00002_14_27-35	213	0.465	RF00002
RF00002_15_46-37	206	0.495	RF00002
RF00002_16_40-20	207	0.560	RF00002
RF00002_17_41-21	202	0.485	RF00002
RF00002_18_45-29	224	0.473	RF00002
RF00002_19_41-42	251	0.474	RF00002
RF00002_1_45-13	216	0.444	RF00002
RF00002_20_45-20	220	0.550	RF00002
RF00002_21_48-26	225	0.391	RF00002
RF00002_22_14-34	201	0.532	RF00002
RF00002_2_10-25	187	0.513	RF00002
RF00002_3_12-42	207	0.469	RF00002
RF00002_4_26-46	235	0.562	RF00002
RF00002_5_11-14	178	0.506	RF00002
RF00002_6_14-44	209	0.464	RF00002
RF00002_7_39-46	233	0.442	RF00002
RF00002_8_40-21	238	0.513	RF00002
