ID	Len	GC	Group
RF00214_AF052428.1	90	0.522	RF00214
RF00214_AF257655.1	90	0.567	RF00214
RF00214_AF257656.1	90	0.578	RF00214
RF00214_AF305091.1	90	0.611	RF00214
RF00214_AF307949.1	90	0.600	RF00214
RF00214_AF307951.1	90	0.578	RF00214
RF00214_AF307952.1	90	0.578	RF00214
RF00214_AY027920.1	90	0.600	RF00214
RF00214_D10652.1	90	0.533	RF00214
RF00214_J02024.1	90	0.567	RF00214
RF00214_J02295.1	90	0.578	RF00214
RF00214_K00928.1	88	0.545	RF00214
RF00214_K03366.1	91	0.571	RF00214
RF00214_K03523.1	90	0.578	RF00214
RF00214_L29199.1	90	0.522	RF00214
RF00214_M14897.1	90	0.589	RF00214
RF00214_M16580.1	90	0.556	RF00214
RF00214_M16584.1	90	0.567	RF00214
RF00214_M84475.1	90	0.567	RF00214
RF00214_U41726.1	90	0.556	RF00214
RF00214_U41729.1	90	0.544	RF00214
RF00214_V01170.1	90	0.578	RF00214
RF00214_V01197.1	93	0.559	RF00214
RF00214_X03982.1	90	0.567	RF00214
RF00214_X13818.1	93	0.559	RF00214
RF00214_Z46390.1	90	0.611	RF00214
