ID	Len	GC	Group
RF01794_AAAA02040389.1	153	0.516	RF01794
RF01794_AACY023818009.1	149	0.530	RF01794
RF01794_AAJT02000001.1	152	0.507	RF01794
RF01794_AAJU02000004.1	152	0.500	RF01794
RF01794_AAJV02000067.1	175	0.531	RF01794
RF01794_AAJW02000017.1	175	0.497	RF01794
RF01794_AAJX02000070.1	152	0.480	RF01794
RF01794_AALC01000057.1	194	0.474	RF01794
RF01794_AALD01000008.1	155	0.497	RF01794
RF01794_AALF01000005.1	194	0.443	RF01794
RF01794_AAMJ02000091.1	171	0.497	RF01794
RF01794_AAMK02000020.1	158	0.481	RF01794
RF01794_AAOU01000061.1	172	0.465	RF01794
RF01794_AAWP01000034.1	167	0.431	RF01794
RF01794_AAZX01017644.1	144	0.410	RF01794
RF01794_ABAN01000078.1	149	0.503	RF01794
RF01794_ABEH02000004.1	150	0.433	RF01794
RF01794_ABEI01000019.1	174	0.494	RF01794
RF01794_ABEJ01000002.1	150	0.427	RF01794
RF01794_ABEW01000010.1	171	0.503	RF01794
RF01794_ABHK02000002.1	172	0.523	RF01794
RF01794_ABHO01000077.1	171	0.526	RF01794
RF01794_ABHQ01000054.1	150	0.513	RF01794
RF01794_ABHR01000099.1	158	0.532	RF01794
RF01794_ABHS01000025.1	157	0.535	RF01794
RF01794_ABJT01000010.1	174	0.489	RF01794
RF01794_ABKX01000002.1	144	0.465	RF01794
RF01794_ABVP01000024.1	150	0.407	RF01794
RF01794_ABWL01000026.1	144	0.514	RF01794
RF01794_ABWM01000009.1	150	0.467	RF01794
RF01794_ABXV01000042.1	154	0.390	RF01794
RF01794_ABXW01000018.1	151	0.450	RF01794
RF01794_ACCI01000221.1	146	0.404	RF01794
RF01794_ACDL01000057.1	150	0.507	RF01794
RF01794_ACDM01000082.1	153	0.497	RF01794
RF01794_ACGN01000130.1	176	0.489	RF01794
RF01794_ACID01000034.1	145	0.497	RF01794
RF01794_ACLE01000080.1	138	0.413	RF01794
RF01794_AE005674.1	176	0.483	RF01794
RF01794_AE014073.1	153	0.444	RF01794
RF01794_AE014075.1	172	0.477	RF01794
RF01794_AE016796.1	143	0.413	RF01794
RF01794_AF250878.1	162	0.488	RF01794
RF01794_AF550679.1	176	0.506	RF01794
RF01794_AM286415.1	193	0.446	RF01794
RF01794_AM293859.1	165	0.388	RF01794
RF01794_AM933172.1	176	0.489	RF01794
RF01794_AM942760.1	150	0.420	RF01794
RF01794_AP000342.1	177	0.503	RF01794
RF01794_AP001918.1	149	0.470	RF01794
RF01794_AP001918.1:2	172	0.517	RF01794
RF01794_AP005153.1	175	0.509	RF01794
RF01794_AP009241.1	158	0.500	RF01794
RF01794_AY686591.1	157	0.535	RF01794
RF01794_AY849933.1	149	0.510	RF01794
RF01794_BA000007.2	152	0.507	RF01794
RF01794_BAAW01002023.1	151	0.490	RF01794
RF01794_BX571867.1	152	0.447	RF01794
RF01794_CP000022.1	166	0.355	RF01794
RF01794_CP000034.1	214	0.458	RF01794
RF01794_CP000036.1	152	0.487	RF01794
RF01794_CP000036.1:2	190	0.479	RF01794
RF01794_CP000243.1	151	0.483	RF01794
RF01794_CP000247.1	152	0.487	RF01794
RF01794_CP000266.1	175	0.509	RF01794
RF01794_CP000646.1	143	0.503	RF01794
RF01794_CP000648.1	167	0.485	RF01794
RF01794_CP000654.1	173	0.480	RF01794
RF01794_CP000783.1	171	0.491	RF01794
RF01794_CP000795.1	172	0.494	RF01794
RF01794_CP000802.1	150	0.493	RF01794
RF01794_CP000826.1	153	0.516	RF01794
RF01794_CP000880.1	150	0.433	RF01794
RF01794_CP000893.1	163	0.399	RF01794
RF01794_CP000946.1	153	0.490	RF01794
RF01794_CP000964.1	151	0.477	RF01794
RF01794_CP000970.1	152	0.500	RF01794
RF01794_CP001063.1	176	0.483	RF01794
RF01794_CP001065.1	172	0.488	RF01794
RF01794_CP001122.1	173	0.497	RF01794
RF01794_CP001164.1	175	0.526	RF01794
RF01794_CP001254.1	146	0.432	RF01794
RF01794_CR378676.1	159	0.415	RF01794
RF01794_CU928145.2	175	0.486	RF01794
RF01794_CU928147.1	158	0.513	RF01794
RF01794_CU928158.2	153	0.471	RF01794
RF01794_CU928162.2	175	0.491	RF01794
RF01794_CU928163.2	175	0.491	RF01794
RF01794_CU928164.2	172	0.506	RF01794
RF01794_D00364.1	158	0.487	RF01794
RF01794_DQ472416.1	174	0.466	RF01794
RF01794_DQ517526.1	159	0.509	RF01794
RF01794_EU370469.1	161	0.429	RF01794
RF01794_FM178382.1	167	0.341	RF01794
RF01794_FM180568.1	150	0.493	RF01794
RF01794_X17311.1	153	0.497	RF01794
