ID	Len	GC	Group
RF00613_AADN02014779.1	143	0.531	RF00613
RF00613_AAFC03072237.1	136	0.544	RF00613
RF00613_AAFR03048892.1	137	0.547	RF00613
RF00613_AAGV020295740.1	136	0.618	RF00613
RF00613_AAGW01177831.1	135	0.570	RF00613
RF00613_AAIY01402388.1	137	0.606	RF00613
RF00613_AALT01235424.1	137	0.518	RF00613
RF00613_AANG01204996.1	137	0.504	RF00613
RF00613_AANN01557999.1	134	0.515	RF00613
RF00613_AAPE01133178.1	135	0.585	RF00613
RF00613_AAPN01102371.1	136	0.581	RF00613
RF00613_AAPY01106650.1	134	0.545	RF00613
RF00613_AAVX01111653.1	138	0.543	RF00613
RF00613_AAWR02003548.1	137	0.533	RF00613
RF00613_AAWZ01019321.1	144	0.556	RF00613
RF00613_AC122200.4	137	0.526	RF00613
RF00613_AY349593.1	137	0.540	RF00613
RF00613_BX248136.12	136	0.522	RF00613
