ID	Len	GC	Group
RF01869_AADA01299136.1	120	0.425	RF01869
RF01869_AADN02008304.1	119	0.370	RF01869
RF01869_AAFC03118625.1	125	0.424	RF01869
RF01869_AAFR03054076.1	120	0.350	RF01869
RF01869_AAGU02144905.1	120	0.425	RF01869
RF01869_AAHX01036780.1	120	0.417	RF01869
RF01869_AAIY01382267.1	120	0.450	RF01869
RF01869_AAKN02030505.1	120	0.425	RF01869
RF01869_AALT01238264.1	120	0.408	RF01869
RF01869_AANN01550515.1	120	0.417	RF01869
RF01869_AAPE01279979.1	119	0.445	RF01869
RF01869_AAPN01016932.1	119	0.445	RF01869
RF01869_AAQQ01039174.1	120	0.425	RF01869
RF01869_AAQR01036516.1	120	0.425	RF01869
RF01869_AAWR02025329.1	120	0.400	RF01869
RF01869_AAYZ01044171.1	120	0.425	RF01869
RF01869_ABDC01119661.1	120	0.425	RF01869
RF01869_ABGA01222392.1	120	0.425	RF01869
RF01869_ABQF01031305.1	119	0.370	RF01869
RF01869_ABRO01097909.1	120	0.417	RF01869
RF01869_ABRP01007348.1	119	0.420	RF01869
RF01869_ABRQ01112384.1	122	0.418	RF01869
RF01869_ABRT010121180.1	120	0.417	RF01869
RF01869_ACBE01409195.1	120	0.417	RF01869
RF01869_AL137067.7	120	0.425	RF01869
RF01869_AL772168.5	120	0.417	RF01869
RF01869_CABD01065488.2	120	0.425	RF01869
