ID	Len	GC	Group
RF01955_AAEX02030111.1	113	0.575	RF01955
RF01955_AAFC03096522.1	121	0.595	RF01955
RF01955_AAGU02300073.1	123	0.545	RF01955
RF01955_AAHX01009292.1	127	0.535	RF01955
RF01955_AAKN02038533.1	123	0.561	RF01955
RF01955_AALT01408676.1	112	0.661	RF01955
RF01955_AAPE01042084.1	117	0.632	RF01955
RF01955_AAQQ01114696.1	123	0.569	RF01955
RF01955_AAWR02004968.1	122	0.525	RF01955
RF01955_AAYZ01096775.1	121	0.587	RF01955
RF01955_ABDC01174326.1	123	0.545	RF01955
RF01955_ABRN01286765.1	122	0.574	RF01955
RF01955_ABRP01112173.1	122	0.557	RF01955
RF01955_ABRQ01170408.1	113	0.575	RF01955
RF01955_ACBE01352828.1	118	0.559	RF01955
RF01955_CAAA01052165.1	122	0.557	RF01955
RF01955_EF177379.1	120	0.592	RF01955
RF01955_EF397601.2	122	0.623	RF01955
