ID	Len	GC	Group
RF01177_AACE03000001.1	86	0.442	RF01177
RF01177_AACF01000010.1	100	0.450	RF01177
RF01177_AACG02000007.1	82	0.354	RF01177
RF01177_AADM01000162.1	85	0.376	RF01177
RF01177_AAFM01000009.1	87	0.494	RF01177
RF01177_AAFN01000035.1	93	0.398	RF01177
RF01177_AAFO01000004.1	92	0.435	RF01177
RF01177_AAFT01000085.1	92	0.478	RF01177
RF01177_AAPO01000010.1	93	0.430	RF01177
RF01177_AAZN01000148.1	95	0.389	RF01177
RF01177_AE016814.1	84	0.417	RF01177
RF01177_AF064279.1	82	0.354	RF01177
RF01177_CP000500.1	90	0.478	RF01177
RF01177_CR380956.2	103	0.417	RF01177
RF01177_CR382121.1	86	0.419	RF01177
RF01177_CR382138.2	94	0.468	RF01177
