ID	Len	GC	Group
RF01717_AACY020003678.1	96	0.448	RF01717
RF01717_AACY020003728.1	96	0.438	RF01717
RF01717_AACY020004210.1	96	0.417	RF01717
RF01717_AACY020012833.1	96	0.448	RF01717
RF01717_AACY020031178.1	96	0.438	RF01717
RF01717_AACY020068528.1	110	0.445	RF01717
RF01717_AACY020073661.1	97	0.454	RF01717
RF01717_AACY020083061.1	99	0.434	RF01717
RF01717_AACY020085804.1	96	0.417	RF01717
RF01717_AACY020086453.1	96	0.375	RF01717
RF01717_AACY020086867.1	95	0.400	RF01717
RF01717_AACY020087980.1	99	0.414	RF01717
RF01717_AACY020088812.1	96	0.406	RF01717
RF01717_AACY020091155.1	99	0.414	RF01717
RF01717_AACY020092358.1	96	0.448	RF01717
RF01717_AACY020094761.1	94	0.436	RF01717
RF01717_AACY020098520.1	93	0.409	RF01717
RF01717_AACY020102819.1	85	0.412	RF01717
RF01717_AACY020106504.1	98	0.429	RF01717
RF01717_AACY020107854.1	101	0.406	RF01717
RF01717_AACY020109483.1	95	0.400	RF01717
RF01717_AACY020110951.1	94	0.404	RF01717
RF01717_AACY020111732.1	78	0.397	RF01717
RF01717_AACY020113996.1	96	0.406	RF01717
RF01717_AACY020114285.1	100	0.420	RF01717
RF01717_AACY020115542.1	95	0.421	RF01717
RF01717_AACY020115700.1	94	0.426	RF01717
RF01717_AACY020117957.1	95	0.400	RF01717
RF01717_AACY020119323.1	96	0.406	RF01717
RF01717_AACY020120326.1	99	0.424	RF01717
RF01717_AACY020120495.1	87	0.402	RF01717
RF01717_AACY020121181.1	95	0.389	RF01717
RF01717_AACY020122437.1	95	0.389	RF01717
RF01717_AACY020125448.1	93	0.409	RF01717
RF01717_AACY020127084.1	96	0.406	RF01717
RF01717_AACY020129088.1	98	0.459	RF01717
RF01717_AACY020129998.1	96	0.406	RF01717
RF01717_AACY020131158.1	95	0.411	RF01717
RF01717_AACY020136505.1	93	0.409	RF01717
RF01717_AACY020138775.1	96	0.417	RF01717
RF01717_AACY020139044.1	98	0.449	RF01717
RF01717_AACY020139214.1	95	0.400	RF01717
RF01717_AACY020142352.1	95	0.421	RF01717
RF01717_AACY020142778.1	95	0.421	RF01717
RF01717_AACY020142980.1	100	0.430	RF01717
RF01717_AACY020143056.1	95	0.421	RF01717
RF01717_AACY020144177.1	97	0.412	RF01717
RF01717_AACY020149617.1	94	0.404	RF01717
RF01717_AACY020153485.1	96	0.406	RF01717
RF01717_AACY020154769.1	98	0.388	RF01717
RF01717_AACY020156426.1	93	0.409	RF01717
RF01717_AACY020162063.1	94	0.426	RF01717
RF01717_AACY020165724.1	92	0.511	RF01717
RF01717_AACY020166069.1	94	0.468	RF01717
RF01717_AACY020168622.1	92	0.489	RF01717
RF01717_AACY020169160.1	107	0.439	RF01717
RF01717_AACY020170823.1	92	0.500	RF01717
RF01717_AACY020171165.1	92	0.500	RF01717
RF01717_AACY020175982.1	95	0.463	RF01717
RF01717_AACY020177026.1	112	0.402	RF01717
RF01717_AACY020182108.1	91	0.484	RF01717
RF01717_AACY020183006.1	93	0.495	RF01717
RF01717_AACY020184022.1	94	0.468	RF01717
RF01717_AACY020184022.1:2	94	0.468	RF01717
