# command:    cmsearch --toponly --informat FASTA -T 13.38 -o /home/sarahmid/Project1_RNAstruct/results/novel-71nt_dinuc500/1-2-3hp/novel-1-2-3hp_clust_cms/cmsearch_bs13.38bgNoneGloc/clust177_aln.txt --tabfile /home/sarahmid/Project1_RNAstruct/results/novel-71nt_dinuc500/1-2-3hp/novel-1-2-3hp_clust_cms/cmsearch_bs13.38bgNoneGloc/clust177_tab.txt --gcfile /home/sarahmid/Project1_RNAstruct/results/novel-71nt_dinuc500/1-2-3hp/novel-1-2-3hp_clust_cms/cmsearch_bs13.38bgNoneGloc/clust177_gc.txt -g /home/sarahmid/Project1_RNAstruct/results/novel-71nt_dinuc500/1-2-3hp/novel-1-2-3hp_clust_cms/clust177.cm /home/sarahmid/Project1_RNAstruct/results/novel-71nt_dinuc500/1-2-3hp/novel-1-2-3hp.db
# date:       Thu Jan 23 16:06:45 2014
# num seqs:   150
# dbsize(Mb): 0.010650
#
# Pre-search info for CM 1: clust177-1
#
# rnd  mod  alg  cfg   beta  bit sc cut
# ---  ---  ---  ---  -----  ----------
#   1  hmm  fwd  glc      -        3.00
#   2   cm  cyk  glc  1e-10        0.00
#   3   cm  ins  glc  1e-15       13.38
#
# CM: clust177-1
#                                     target coord   query coord                         
#                           ----------------------  ------------                         
# model name  target name        start        stop  start   stop    bit sc   E-value  GC%
# ----------  ------------  ----------  ----------  -----  -----  --------  --------  ---
  clust177-1  novel-1hp_40          10          62      1     71     15.12         -   30
  clust177-1  novel-2hp_19           1          71      1     71     72.15         -   39
  clust177-1  novel-2hp_30           1          71      1     71     77.21         -   54
  clust177-1  novel-2hp_33           1          71      1     71     74.92         -   42
  clust177-1  novel-2hp_35           1          71      1     71     46.21         -   56
  clust177-1  novel-2hp_37           1          71      1     71     78.99         -   58
  clust177-1  novel-2hp_47           1          71      1     71     52.88         -   55
  clust177-1  novel-3hp_13           4          68      1     71     15.09         -   46
#
# Post-search info for CM 1: clust177-1
#
# rnd  mod  alg  cfg   beta  bit sc cut  num hits  surv fract
# ---  ---  ---  ---  -----  ----------  --------  ----------
#   1  hmm  fwd  glc      -        3.00         8      0.0533
#   2   cm  cyk  glc  1e-10        0.00         8      0.0533
#   3   cm  ins  glc  1e-15       13.38         8      0.0511
#
#    run time
# -----------
#    00:00:01
