# command:    cmsearch --toponly --informat FASTA -T 13.38 -o /home/sarahmid/Project1_RNAstruct/results/novel-71nt_dinuc500/1-2-3hp/novel-1-2-3hp_clust_cms/cmsearch_bs13.38bgNoneGloc/clust220_aln.txt --tabfile /home/sarahmid/Project1_RNAstruct/results/novel-71nt_dinuc500/1-2-3hp/novel-1-2-3hp_clust_cms/cmsearch_bs13.38bgNoneGloc/clust220_tab.txt --gcfile /home/sarahmid/Project1_RNAstruct/results/novel-71nt_dinuc500/1-2-3hp/novel-1-2-3hp_clust_cms/cmsearch_bs13.38bgNoneGloc/clust220_gc.txt -g /home/sarahmid/Project1_RNAstruct/results/novel-71nt_dinuc500/1-2-3hp/novel-1-2-3hp_clust_cms/clust220.cm /home/sarahmid/Project1_RNAstruct/results/novel-71nt_dinuc500/1-2-3hp/novel-1-2-3hp.db
# date:       Thu Jan 23 16:06:45 2014
# num seqs:   150
# dbsize(Mb): 0.010650
#
# Pre-search info for CM 1: clust220-1
#
# rnd  mod  alg  cfg   beta  bit sc cut
# ---  ---  ---  ---  -----  ----------
#   1  hmm  fwd  glc      -        3.00
#   2   cm  cyk  glc  1e-10        0.00
#   3   cm  ins  glc  1e-15       13.38
#
# CM: clust220-1
#                                     target coord   query coord                         
#                           ----------------------  ------------                         
# model name  target name        start        stop  start   stop    bit sc   E-value  GC%
# ----------  ------------  ----------  ----------  -----  -----  --------  --------  ---
  clust220-1  novel-1hp_31          11          61      1     71     23.69         -   57
  clust220-1  novel-2hp_5            1          71      1     71     57.47         -   62
  clust220-1  novel-2hp_8            1          71      1     71     69.34         -   42
  clust220-1  novel-2hp_9            1          71      1     71     51.21         -   38
  clust220-1  novel-2hp_20           1          71      1     71     41.08         -   63
  clust220-1  novel-2hp_31           1          71      1     71     71.75         -   55
  clust220-1  novel-2hp_39           1          71      1     71     70.04         -   54
  clust220-1  novel-2hp_50           1          71      1     71     73.24         -   55
#
# Post-search info for CM 1: clust220-1
#
# rnd  mod  alg  cfg   beta  bit sc cut  num hits  surv fract
# ---  ---  ---  ---  -----  ----------  --------  ----------
#   1  hmm  fwd  glc      -        3.00         9      0.0600
#   2   cm  cyk  glc  1e-10        0.00         9      0.0600
#   3   cm  ins  glc  1e-15       13.38         8      0.0515
#
#    run time
# -----------
#    00:00:00
