ID	Len	GC	Group
RF00693_AACN010573528.1	70	0.429	RF00693
RF00693_AACZ02096523.1	65	0.277	RF00693
RF00693_AACZ02191117.1	69	0.420	RF00693
RF00693_AADD01093451.1	66	0.303	RF00693
RF00693_AAEX02006875.1	73	0.315	RF00693
RF00693_AAEX02019848.1	70	0.429	RF00693
RF00693_AAEX02028076.1	65	0.246	RF00693
RF00693_AAFC03018591.1	70	0.357	RF00693
RF00693_AAFC03064072.1	67	0.358	RF00693
RF00693_AAFC03110925.1	71	0.324	RF00693
RF00693_AAFC03112932.1	71	0.380	RF00693
RF00693_AAFR03003088.1	77	0.351	RF00693
RF00693_AAFR03018157.1	70	0.443	RF00693
RF00693_AAFR03041724.1	70	0.286	RF00693
RF00693_AAGU02024569.1	68	0.338	RF00693
RF00693_AAGU02290583.1	69	0.420	RF00693
RF00693_AAGU02299419.1	70	0.400	RF00693
RF00693_AAGV020068496.1	64	0.391	RF00693
RF00693_AAGV020162996.1	70	0.357	RF00693
RF00693_AAGV020259291.1	70	0.429	RF00693
RF00693_AAGV020401132.1	69	0.362	RF00693
RF00693_AAGV020749547.1	70	0.357	RF00693
RF00693_AAGW01139212.1	70	0.457	RF00693
RF00693_AAHX01006722.1	69	0.406	RF00693
RF00693_AAIY01165272.1	72	0.528	RF00693
RF00693_AAIY01216105.1	70	0.457	RF00693
RF00693_AAIY01384579.1	68	0.250	RF00693
RF00693_AAIY01448215.1	70	0.357	RF00693
RF00693_AAIY01580043.1	72	0.472	RF00693
RF00693_AAIY01799330.1	73	0.534	RF00693
RF00693_AAIY01810045.1	73	0.521	RF00693
RF00693_AAKN02005203.1	70	0.429	RF00693
RF00693_AAKN02021930.1	69	0.435	RF00693
RF00693_AAKN02027666.1	70	0.529	RF00693
RF00693_AALT01540283.1	69	0.449	RF00693
RF00693_AALT01554324.1	69	0.493	RF00693
RF00693_AANG01591628.1	65	0.292	RF00693
RF00693_AANG01714059.1	71	0.352	RF00693
RF00693_AANH01000229.1	70	0.500	RF00693
RF00693_AANN01661338.1	73	0.479	RF00693
RF00693_AANN01839719.1	70	0.400	RF00693
RF00693_AANU01115274.1	70	0.457	RF00693
RF00693_AANU01292740.1	70	0.400	RF00693
RF00693_AAPE01145458.1	71	0.507	RF00693
RF00693_AAPE01608008.1	70	0.400	RF00693
RF00693_AAPN01052068.1	69	0.507	RF00693
RF00693_AAPN01075732.1	69	0.536	RF00693
RF00693_AAPY01498171.1	70	0.386	RF00693
RF00693_AAPY01600069.1	68	0.412	RF00693
RF00693_AAPY01675107.1	70	0.429	RF00693
RF00693_AAQQ01100588.1	69	0.435	RF00693
RF00693_AAQR01094649.1	69	0.449	RF00693
RF00693_AAVX01307041.1	68	0.456	RF00693
RF00693_AAWR02004081.1	69	0.377	RF00693
RF00693_AAWR02019028.1	70	0.414	RF00693
RF00693_AAWR02025623.1	70	0.543	RF00693
RF00693_AAWR02026698.1	68	0.338	RF00693
RF00693_AAWR02029570.1	65	0.446	RF00693
RF00693_AAWZ01038141.1	70	0.414	RF00693
RF00693_AAYZ01032520.1	68	0.456	RF00693
RF00693_AAYZ01657527.1	68	0.426	RF00693
RF00693_ABBA01075050.1	69	0.406	RF00693
RF00693_ABDC01001199.1	72	0.500	RF00693
RF00693_ABDC01643817.1	68	0.397	RF00693
RF00693_AY866123.1	72	0.403	RF00693
RF00693_BAAF04016950.1	73	0.411	RF00693
RF00693_BC049633.1	69	0.406	RF00693
RF00693_BX931191.1	70	0.400	RF00693
RF00693_CAAB01000277.1	73	0.438	RF00693
RF00693_CAAE01014581.1	73	0.438	RF00693
