ID	Len	GC	Group
RF00702_AACZ02087971.1	85	0.529	RF00702
RF00702_AAFR03031888.1	85	0.482	RF00702
RF00702_AAGU02431695.1	85	0.541	RF00702
RF00702_AAIY01755693.1	85	0.588	RF00702
RF00702_AANN01116974.1	85	0.506	RF00702
RF00702_AAPN01078068.1	85	0.529	RF00702
RF00702_AAQR01061760.1	85	0.506	RF00702
RF00702_AAVX01309390.1	85	0.529	RF00702
RF00702_AAYZ01439986.1	84	0.524	RF00702
RF00702_ABDC01155768.1	85	0.553	RF00702
RF00702_AL590150.2	85	0.471	RF00702
RF00702_BAAE01056755.1	85	0.482	RF00702
RF00702_BAAF04047675.1	86	0.512	RF00702
RF00702_CAAA01210023.1	85	0.482	RF00702
RF00702_CAAB01003233.1	85	0.506	RF00702
