ID	Len	GC	Group
bg_embed1	137	0.423	bg
bg_embed10	205	0.517	bg
bg_embed100	144	0.410	bg
bg_embed1000	335	0.472	bg
bg_embed1001	326	0.439	bg
bg_embed1002	113	0.531	bg
bg_embed1003	69	0.493	bg
bg_embed1004	164	0.476	bg
bg_embed1005	120	0.525	bg
bg_embed1006	232	0.496	bg
bg_embed1007	105	0.467	bg
bg_embed1008	184	0.489	bg
bg_embed1009	164	0.476	bg
bg_embed101	157	0.503	bg
bg_embed1010	370	0.435	bg
bg_embed1011	96	0.438	bg
bg_embed1012	111	0.441	bg
bg_embed1013	94	0.489	bg
bg_embed1014	176	0.523	bg
bg_embed1015	153	0.471	bg
bg_embed1016	107	0.467	bg
bg_embed1017	128	0.523	bg
bg_embed1018	242	0.421	bg
bg_embed1019	100	0.510	bg
bg_embed102	395	0.501	bg
bg_embed1020	381	0.478	bg
bg_embed1021	462	0.513	bg
bg_embed1022	128	0.500	bg
bg_embed1023	172	0.483	bg
bg_embed1024	322	0.484	bg
bg_embed1025	126	0.476	bg
bg_embed1026	109	0.541	bg
bg_embed1027	361	0.465	bg
bg_embed1028	337	0.487	bg
bg_embed1029	136	0.485	bg
bg_embed103	107	0.495	bg
bg_embed1030	132	0.470	bg
bg_embed1031	341	0.499	bg
bg_embed1032	87	0.540	bg
bg_embed1033	294	0.473	bg
bg_embed1034	308	0.532	bg
bg_embed1035	155	0.529	bg
bg_embed1036	175	0.457	bg
bg_embed1037	97	0.557	bg
bg_embed1038	352	0.517	bg
bg_embed1039	114	0.561	bg
bg_embed104	185	0.481	bg
bg_embed1040	103	0.485	bg
bg_embed1041	319	0.464	bg
bg_embed1042	113	0.540	bg
bg_embed1043	322	0.488	bg
bg_embed1044	143	0.559	bg
bg_embed1045	101	0.505	bg
bg_embed1046	81	0.543	bg
bg_embed1047	87	0.506	bg
bg_embed1048	130	0.569	bg
bg_embed1049	134	0.410	bg
bg_embed105	239	0.494	bg
bg_embed1050	170	0.447	bg
bg_embed1051	144	0.514	bg
bg_embed1052	175	0.457	bg
bg_embed1053	388	0.513	bg
bg_embed1054	153	0.451	bg
bg_embed1055	363	0.479	bg
bg_embed1056	235	0.434	bg
bg_embed1057	161	0.478	bg
bg_embed1058	348	0.509	bg
bg_embed1059	169	0.485	bg
bg_embed106	160	0.444	bg
bg_embed1060	83	0.518	bg
bg_embed1061	102	0.559	bg
bg_embed1062	211	0.488	bg
bg_embed1063	126	0.468	bg
bg_embed1064	145	0.510	bg
bg_embed1065	320	0.444	bg
bg_embed1066	423	0.513	bg
bg_embed1067	212	0.462	bg
bg_embed1068	217	0.401	bg
bg_embed1069	126	0.444	bg
bg_embed107	174	0.443	bg
bg_embed1070	251	0.530	bg
bg_embed1071	118	0.466	bg
bg_embed1072	178	0.404	bg
bg_embed1073	185	0.476	bg
bg_embed1074	122	0.484	bg
bg_embed1075	366	0.503	bg
bg_embed1076	181	0.497	bg
bg_embed1077	165	0.533	bg
bg_embed1078	330	0.527	bg
bg_embed1079	99	0.475	bg
bg_embed108	216	0.532	bg
bg_embed1080	102	0.500	bg
bg_embed1081	124	0.492	bg
bg_embed1082	205	0.454	bg
bg_embed1083	236	0.542	bg
bg_embed1084	98	0.449	bg
bg_embed1085	103	0.447	bg
bg_embed1086	157	0.484	bg
bg_embed1087	336	0.542	bg
bg_embed1088	155	0.581	bg
bg_embed1089	141	0.518	bg
bg_embed109	149	0.523	bg
bg_embed1090	331	0.468	bg
bg_embed1091	144	0.493	bg
bg_embed1092	105	0.514	bg
bg_embed1093	357	0.507	bg
bg_embed1094	287	0.523	bg
bg_embed1095	165	0.509	bg
bg_embed1096	367	0.477	bg
bg_embed1097	368	0.473	bg
bg_embed1098	101	0.574	bg
bg_embed1099	259	0.471	bg
bg_embed11	115	0.513	bg
bg_embed110	181	0.530	bg
bg_embed1100	133	0.549	bg
bg_embed1101	306	0.503	bg
bg_embed1102	124	0.500	bg
bg_embed1103	147	0.544	bg
bg_embed1104	304	0.487	bg
bg_embed1105	173	0.526	bg
bg_embed1106	116	0.526	bg
bg_embed1107	307	0.518	bg
bg_embed1108	127	0.409	bg
bg_embed1109	389	0.524	bg
bg_embed111	121	0.496	bg
bg_embed1110	149	0.523	bg
bg_embed1111	383	0.462	bg
bg_embed1112	98	0.602	bg
bg_embed1113	111	0.514	bg
bg_embed1114	116	0.569	bg
bg_embed1115	322	0.460	bg
bg_embed1116	145	0.455	bg
bg_embed1117	228	0.496	bg
bg_embed1118	144	0.451	bg
bg_embed1119	177	0.503	bg
bg_embed112	113	0.496	bg
bg_embed1120	112	0.509	bg
bg_embed1121	342	0.480	bg
