ID	Len	GC	Group
RF01186_AACN010948193.1	86	0.349	RF01186
RF01186_AADN02004089.1	86	0.419	RF01186
RF01186_AAGW01261994.1	83	0.349	RF01186
RF01186_AAKN02027477.1	86	0.326	RF01186
RF01186_AALT01578859.1	81	0.395	RF01186
RF01186_AANN01169539.1	72	0.389	RF01186
RF01186_AAPE01465913.1	86	0.337	RF01186
RF01186_AAPN01154590.1	88	0.477	RF01186
RF01186_AAPY01351447.1	85	0.376	RF01186
RF01186_AAWR02032993.1	84	0.369	RF01186
RF01186_ABQO010086764.1	86	0.395	RF01186
RF01186_AC159621.2	86	0.360	RF01186
RF01186_AM413025.1	86	0.360	RF01186
