ID	Len	GC	Group
RF01086_AACY021112032.1	343	0.513	RF01086
RF01086_AALC01000007.1	352	0.489	RF01086
RF01086_AALD01000019.1	352	0.489	RF01086
RF01086_AALF01000001.1	351	0.481	RF01086
RF01086_AAYR01000005.1	352	0.486	RF01086
RF01086_AE017220.1	342	0.471	RF01086
RF01086_AM286415.1	352	0.466	RF01086
RF01086_BX950851.1	342	0.468	RF01086
RF01086_CP000447.1	324	0.429	RF01086
RF01086_CP000507.1	329	0.471	RF01086
RF01086_CP000647.1	339	0.490	RF01086
RF01086_CP000826.1	354	0.480	RF01086
RF01086_CP001103.1	346	0.465	RF01086
RF01086_CR378670.1	347	0.441	RF01086
RF01086_V00291.1	341	0.487	RF01086
