ID	Len	GC	Group
RF01061_AADA01335449.1	84	0.369	RF01061
RF01061_AAFC03085383.1	84	0.357	RF01061
RF01061_AAGL01002088.1	84	0.333	RF01061
RF01061_AAHX01363668.1	85	0.341	RF01061
RF01061_AANU01123317.1	84	0.381	RF01061
RF01061_AANU01124258.1	84	0.321	RF01061
RF01061_AANU01143716.1	82	0.378	RF01061
RF01061_AANU01206212.1	84	0.381	RF01061
RF01061_AANU01207048.1	85	0.329	RF01061
RF01061_AANU01266112.1	80	0.362	RF01061
RF01061_AC005411.1	84	0.333	RF01061
RF01061_AC009121.8	84	0.357	RF01061
RF01061_AC010085.3	75	0.360	RF01061
RF01061_AC010683.10	82	0.280	RF01061
RF01061_AC012622.6	85	0.294	RF01061
RF01061_AC073273.9	85	0.259	RF01061
RF01061_AC078962.30	84	0.321	RF01061
RF01061_AC092680.2	84	0.298	RF01061
RF01061_AC092902.10	84	0.321	RF01061
RF01061_AC098811.3	84	0.321	RF01061
RF01061_AC110921.9	84	0.345	RF01061
RF01061_AC116655.7	84	0.310	RF01061
RF01061_AC117530.2	84	0.274	RF01061
RF01061_AC138733.3	83	0.361	RF01061
RF01061_AC142557.3	83	0.349	RF01061
RF01061_AC145405.3	81	0.321	RF01061
RF01061_AC148206.3	83	0.325	RF01061
RF01061_AC148541.3	82	0.366	RF01061
RF01061_AC150480.3	84	0.238	RF01061
RF01061_AC152896.3	82	0.354	RF01061
RF01061_AC164925.3	83	0.361	RF01061
RF01061_AC166600.4	85	0.306	RF01061
RF01061_AC182540.3	81	0.333	RF01061
RF01061_AC187360.3	84	0.357	RF01061
RF01061_AC193857.1	85	0.424	RF01061
RF01061_AF228730.8	84	0.310	RF01061
RF01061_AF267168.3	84	0.345	RF01061
RF01061_AL023655.1	85	0.329	RF01061
RF01061_AL023693.25	85	0.329	RF01061
RF01061_AL137009.8	84	0.381	RF01061
RF01061_AL158163.11	84	0.357	RF01061
RF01061_AL355094.3	84	0.345	RF01061
RF01061_AL356113.8	85	0.365	RF01061
RF01061_AL389887.7	81	0.346	RF01061
RF01061_AL390966.14	82	0.341	RF01061
RF01061_AL391356.22	84	0.298	RF01061
RF01061_AL831851.1	83	0.373	RF01061
RF01061_AP002336.5	83	0.337	RF01061
RF01061_AP004582.2	84	0.357	RF01061
RF01061_AY584241.1	84	0.393	RF01061
RF01061_CAAA01099159.1	84	0.321	RF01061
RF01061_CT954305.14	84	0.357	RF01061
RF01061_Y13187.2	84	0.286	RF01061
RF01061_Z95115.1	83	0.398	RF01061
