ID	Len	GC	Group
RF00757_AAAB01008980.1	95	0.547	RF00757
RF00757_AADG05001619.1	91	0.571	RF00757
RF00757_AADK01007727.1	87	0.690	RF00757
RF00757_AAGE02001651.1	93	0.505	RF00757
RF00757_AAIZ01002385.1	91	0.549	RF00757
RF00757_AAJJ01000649.1	91	0.560	RF00757
RF00757_AANI01016257.1	95	0.600	RF00757
RF00757_AAPP01015737.1	89	0.573	RF00757
RF00757_AAPT01020969.1	95	0.600	RF00757
RF00757_AAPU01010637.1	95	0.568	RF00757
RF00757_AAQB01006829.1	96	0.479	RF00757
RF00757_AASW01038426.1	91	0.516	RF00757
RF00757_AAWU01017837.1	92	0.576	RF00757
RF00757_AAZX01002044.1	88	0.557	RF00757
