ID	Len	GC	Group
RF01685_AACY020008268.1	107	0.308	RF01685
RF01685_AACY020016197.1	109	0.358	RF01685
RF01685_AACY020065208.1	109	0.394	RF01685
RF01685_AACY020130858.1	107	0.290	RF01685
RF01685_AACY020157838.1	104	0.356	RF01685
RF01685_AACY020192006.1	107	0.290	RF01685
RF01685_AACY020213873.1	104	0.346	RF01685
RF01685_AACY020234078.1	106	0.358	RF01685
RF01685_AACY020241607.1	109	0.394	RF01685
RF01685_AACY020266888.1	105	0.305	RF01685
RF01685_AACY020267703.1	105	0.314	RF01685
RF01685_AACY020277320.1	105	0.314	RF01685
RF01685_AACY020328983.1	107	0.346	RF01685
RF01685_AACY020332158.1	104	0.385	RF01685
RF01685_AACY020332875.1	107	0.299	RF01685
RF01685_AACY020386012.1	105	0.295	RF01685
RF01685_AACY020431015.1	107	0.318	RF01685
RF01685_AACY020434657.1	103	0.369	RF01685
RF01685_AACY020444574.1	107	0.299	RF01685
RF01685_AACY020447051.1	105	0.314	RF01685
RF01685_AACY020447591.1	108	0.417	RF01685
RF01685_AACY020489887.1	110	0.364	RF01685
RF01685_AACY020499922.1	110	0.391	RF01685
RF01685_AACY020507234.1	108	0.380	RF01685
RF01685_AACY020510232.1	104	0.365	RF01685
RF01685_AACY020521738.1	111	0.495	RF01685
RF01685_AACY020543799.1	108	0.370	RF01685
RF01685_AACY020548926.1	104	0.288	RF01685
RF01685_AACY020556599.1	107	0.346	RF01685
RF01685_AACY020631901.1	104	0.375	RF01685
RF01685_AACY020716436.1	126	0.405	RF01685
RF01685_AACY020810601.1	104	0.365	RF01685
RF01685_AACY020948886.1	107	0.346	RF01685
RF01685_AACY021018287.1	105	0.295	RF01685
RF01685_AACY021047594.1	108	0.361	RF01685
RF01685_AACY021111703.1	132	0.447	RF01685
RF01685_AACY021349943.1	110	0.364	RF01685
RF01685_AACY021484564.1	109	0.413	RF01685
RF01685_AACY021690114.1	108	0.361	RF01685
RF01685_AACY021863342.1	104	0.375	RF01685
RF01685_AACY021874420.1	109	0.358	RF01685
RF01685_AACY022077491.1	105	0.352	RF01685
RF01685_AACY022359968.1	110	0.400	RF01685
RF01685_AACY022582938.1	108	0.398	RF01685
RF01685_AACY022797658.1	103	0.369	RF01685
RF01685_AACY022878811.1	104	0.337	RF01685
RF01685_AACY022937137.1	105	0.305	RF01685
RF01685_AACY022946535.1	109	0.376	RF01685
RF01685_AACY023159522.1	107	0.318	RF01685
RF01685_AACY023212115.1	108	0.417	RF01685
RF01685_AACY023239690.1	128	0.500	RF01685
RF01685_AACY023265141.1	109	0.385	RF01685
RF01685_AACY023266825.1	107	0.308	RF01685
RF01685_AACY023277178.1	108	0.407	RF01685
RF01685_AACY023283640.1	104	0.337	RF01685
RF01685_AACY023367443.1	107	0.299	RF01685
RF01685_AACY023385857.1	104	0.337	RF01685
RF01685_AACY023452605.1	109	0.358	RF01685
RF01685_AACY023486059.1	107	0.355	RF01685
RF01685_AACY023530069.1	107	0.346	RF01685
RF01685_AACY023573129.1	106	0.311	RF01685
RF01685_AACY023575949.1	104	0.365	RF01685
RF01685_AACY023578674.1	103	0.369	RF01685
RF01685_AACY023587494.1	105	0.352	RF01685
RF01685_AACY023596667.1	107	0.346	RF01685
RF01685_AACY023598841.1	109	0.394	RF01685
RF01685_AACY023611324.1	104	0.356	RF01685
RF01685_AACY023638381.1	107	0.280	RF01685
RF01685_AACY023731549.1	126	0.413	RF01685
RF01685_AACY023737341.1	107	0.308	RF01685
RF01685_AACY023871604.1	103	0.379	RF01685
RF01685_AACY023872386.1	107	0.336	RF01685
RF01685_AACY023876911.1	109	0.349	RF01685
RF01685_AACY023901853.1	104	0.356	RF01685
RF01685_AACY024022377.1	109	0.404	RF01685
RF01685_AACY024105008.1	108	0.343	RF01685
RF01685_AAMP01000001.1	111	0.279	RF01685
RF01685_AAMZ01000005.1	123	0.358	RF01685
RF01685_AANA01000001.1	107	0.355	RF01685
RF01685_AANC01000006.1	109	0.385	RF01685
RF01685_AAOC01000004.1	109	0.367	RF01685
RF01685_AAOG01000003.1	127	0.346	RF01685
RF01685_AAOI01000003.1	108	0.361	RF01685
RF01685_AAPD01000002.1	111	0.387	RF01685
RF01685_AAPR01000008.1	114	0.447	RF01685
RF01685_AAXX01000003.1	104	0.356	RF01685
RF01685_ABCO01000011.1	121	0.405	RF01685
RF01685_AM398681.1	107	0.336	RF01685
RF01685_CP000685.1	109	0.394	RF01685
