ID	Len	GC	Group
RF00002_AB011808.1	154	0.474	RF00002
RF00002_AB021684.1	153	0.523	RF00002
RF00002_AF026388.1	155	0.484	RF00002
RF00002_AF093014.1	148	0.351	RF00002
RF00002_AF158724.1	154	0.565	RF00002
RF00002_AF158725.1	153	0.549	RF00002
RF00002_AF169230.1	156	0.583	RF00002
RF00002_AF196778.1	153	0.431	RF00002
RF00002_AF223066.1	150	0.547	RF00002
RF00002_AF223570.1	146	0.452	RF00002
RF00002_AF223571.1	149	0.477	RF00002
RF00002_AF306774.1	169	0.491	RF00002
RF00002_AF307619.1	156	0.551	RF00002
RF00002_AF319429.1	154	0.455	RF00002
RF00002_AF403508.1	155	0.477	RF00002
RF00002_AF422961.1	154	0.487	RF00002
RF00002_AF444327.1	154	0.448	RF00002
RF00002_AF468917.1	153	0.490	RF00002
RF00002_AJ229062.1	149	0.470	RF00002
RF00002_AY029385.1	153	0.490	RF00002
RF00002_D10840.1	156	0.545	RF00002
RF00002_D16558.1	153	0.503	RF00002
RF00002_L07796.1	155	0.477	RF00002
RF00002_L25635.1	150	0.467	RF00002
RF00002_L78065.1	153	0.516	RF00002
RF00002_M14649.1	155	0.490	RF00002
RF00002_M21017.1	123	0.504	RF00002
RF00002_M36008.1	154	0.584	RF00002
RF00002_M63701.1	169	0.473	RF00002
RF00002_M73682.1	115	0.600	RF00002
RF00002_M86760.1	154	0.448	RF00002
RF00002_U09322.1	154	0.455	RF00002
RF00002_U10409.1	154	0.416	RF00002
RF00002_U13369.1	153	0.575	RF00002
RF00002_U21939.1	151	0.437	RF00002
RF00002_U35394.1	151	0.391	RF00002
RF00002_U48228.1	160	0.381	RF00002
RF00002_U58510.1	177	0.537	RF00002
RF00002_V01159.1	147	0.565	RF00002
RF00002_X00601.1	158	0.437	RF00002
RF00002_X01533.1	148	0.446	RF00002
RF00002_X03680.1	150	0.507	RF00002
RF00002_X15589.1	155	0.555	RF00002
RF00002_X53361.2	163	0.577	RF00002
RF00002_X53538.1	152	0.566	RF00002
RF00002_X54512.1	148	0.466	RF00002
RF00002_X58290.1	116	0.733	RF00002
RF00002_X60210.1	148	0.581	RF00002
RF00002_X60705.1	154	0.487	RF00002
RF00002_X66325.1	155	0.542	RF00002
RF00002_X75430.1	154	0.455	RF00002
RF00002_X80212.2	153	0.516	RF00002
RF00002_X80346.1	154	0.461	RF00002
RF00002_X90410.1	151	0.444	RF00002
RF00002_X99212.1	140	0.471	RF00002
RF00002_Y00055.1	168	0.464	RF00002
RF00002_Y07974.1	155	0.484	RF00002
RF00002_Y07976.1	148	0.459	RF00002
RF00002_Y07978.1	154	0.539	RF00002
RF00002_Y11511.1	154	0.416	RF00002
RF00002_Z32848.1	155	0.458	RF00002
