ID	Len	GC	Group
RF01853_AACZ02049260.1	107	0.346	RF01853
RF01853_AACZ02094662.1	106	0.434	RF01853
RF01853_AADA01019444.1	108	0.426	RF01853
RF01853_AANU01020701.1	104	0.269	RF01853
RF01853_AANU01037963.1	104	0.327	RF01853
RF01853_AANU01062068.1	102	0.294	RF01853
RF01853_AANU01130438.1	104	0.308	RF01853
RF01853_AC187501.2	105	0.352	RF01853
RF01853_AF011222.1	106	0.425	RF01853
RF01853_AF089820.1	106	0.425	RF01853
RF01853_AF240457.1	106	0.387	RF01853
RF01853_AF311722.1	104	0.394	RF01853
RF01853_AF311725.1	104	0.394	RF01853
RF01853_AF338873.1	105	0.419	RF01853
RF01853_AF338877.1	105	0.486	RF01853
RF01853_AF376805.1	104	0.308	RF01853
RF01853_AF392313.1	106	0.434	RF01853
RF01853_AJ586555.1	105	0.381	RF01853
RF01853_AJ812285.1	106	0.406	RF01853
RF01853_AM392418.1	106	0.425	RF01853
RF01853_AY005559.1	106	0.434	RF01853
RF01853_AY048783.1	97	0.340	RF01853
RF01853_AY079509.1	106	0.396	RF01853
RF01853_AY126678.1	101	0.366	RF01853
RF01853_AY196756.1	101	0.277	RF01853
RF01853_AY210520.1	106	0.434	RF01853
RF01853_AY397669.1	105	0.305	RF01853
RF01853_AY398125.1	106	0.434	RF01853
RF01853_AY595133.1	106	0.415	RF01853
RF01853_AY661547.1	105	0.324	RF01853
RF01853_AY682605.1	105	0.352	RF01853
RF01853_AY957299.1	106	0.443	RF01853
RF01853_AY966398.1	104	0.462	RF01853
RF01853_D38113.1	105	0.410	RF01853
RF01853_D38114.1	103	0.379	RF01853
RF01853_D38115.1	103	0.495	RF01853
RF01853_DQ145833.1	106	0.472	RF01853
RF01853_DQ241236.1	101	0.317	RF01853
RF01853_DQ241248.1	101	0.267	RF01853
RF01853_DQ241250.1	101	0.257	RF01853
RF01853_DQ355301.1	107	0.327	RF01853
RF01853_DQ367568.1	105	0.400	RF01853
RF01853_DQ373494.1	98	0.327	RF01853
RF01853_DQ661674.1	105	0.352	RF01853
RF01853_EF363489.1	105	0.419	RF01853
RF01853_EU004480.1	105	0.333	RF01853
RF01853_U84319.1	105	0.352	RF01853
RF01853_U88992.1	101	0.277	RF01853
RF01853_U88994.1	101	0.277	RF01853
RF01853_U88999.1	105	0.314	RF01853
RF01853_U89000.1	101	0.327	RF01853
RF01853_U89008.1	101	0.356	RF01853
RF01853_X97707.1	103	0.476	RF01853
