23S-methyl,RF01065,Cis-reg;,19,593,23S methyl RNA motif
5S_rRNA,RF00001,Gene; rRNA;,712,183439,5S ribosomal RNA
5_8S_rRNA,RF00002,Gene; rRNA;,61,680825,5.8S ribosomal RNA
5_ureB_sRNA,RF02514,Gene; sRNA;,13,2597,5' ureB small RNA
6C,RF01066,Cis-reg;,18,184,6C RNA
6S,RF00013,Gene;,149,3611,6S / SsrS RNA
6S-Flavo,RF01685,Gene; sRNA;,82,105,6S-Flavo RNA
7SK,RF00100,Gene;,45,20923,7SK RNA
Aar,RF02375,Gene; sRNA;,13,52,Aar sRNA
ACA59,RF01293,Gene; snRNA; snoRNA; HACA-box;,3,39,Small nucleolar RNA ACA59
ACA64,RF01225,Gene; snRNA; snoRNA; HACA-box;,30,347,Small nucleolar RNA ACA64
ACAT,RF01495,Cis-reg;,8,49,Human acetyl-coA cholesterol acyltransferase mRNA
ACEA_U3,RF01848,Gene; snRNA; snoRNA; CD-box;,28,106,ACEA small nucleolar RNA U3
Acido-1,RF01686,Gene; sRNA;,4,5,Acido-1 RNA
Acido-Lenti-1,RF01687,Gene; sRNA;,87,502,Acido-Lenti-1 RNA
Actino-pnp,RF01688,Cis-reg;,77,372,Actino-pnp RNA
adapt33_1,RF02255,Gene; lncRNA;,3,13,Adaptive response 33 conserved region 1
adapt33_2,RF02256,Gene; lncRNA;,2,9,Adaptive response 33 conserved region 2
adapt33_3,RF02257,Gene; lncRNA;,3,12,Adaptive response 33 conserved region 3
adapt33_4,RF02258,Gene; lncRNA;,2,10,Adaptive response 33 conserved region 4
AdoCbl-variant,RF01689,Cis-reg; riboswitch;,144,266,AdoCbl variant RNA
AdoCbl_riboswitch,RF01482,Cis-reg; riboswitch;,7,511,AdoCbl riboswitch
AEV_CRE,RF02536,Cis-reg;,2,3,Avian encephalitis virus (AEV) cis-acting replication element (CRE)
AfaR,RF02515,Gene; sRNA;,2,8,AfaR small RNA
Afu_182,RF01496,Gene; sRNA;,19,122,A. fumigatus sRNA Afu_182
Afu_190,RF01498,Gene; snRNA; snoRNA; CD-box;,3,119,A. fumigatus snoRNA Afu_190
Afu_191,RF01499,Gene; snRNA; snoRNA; CD-box;,7,53,A. fumigatus snoRNA Afu_191
Afu_198,RF01500,Gene; snRNA; snoRNA; CD-box;,6,71,A. fumigatus snoRNA Afu_198
Afu_199,RF01501,Gene; snRNA; snoRNA; CD-box;,3,52,A. fimigatus snoRNA Afu_199
Afu_203,RF01503,Gene; sRNA;,3,8,A. fumigatus sRNA Afu_203
Afu_254,RF01504,Gene; sRNA;,6,57,A. fumigatus sRNA Afu_254
Afu_263,RF02402,Gene; snRNA; snoRNA; CD-box;,19,52,A. fumigatus snoRNA Afu_263
Afu_264,RF01505,Gene; snRNA; snoRNA; CD-box;,5,103,A. fumigatus snoRNA Afu_264
Afu_294,RF01506,Gene; snRNA; snoRNA; CD-box;,10,70,A. fumigatus snoRNA Afu_294
Afu_298,RF01507,Gene; snRNA; snoRNA; CD-box;,3,78,A. fimigatus snoRNA Afu_298
Afu_300,RF01509,Gene; snRNA; snoRNA; CD-box;,10,108,A. fumigatus snoRNA Afu_300
Afu_304,RF01511,Gene; snRNA; snoRNA; CD-box;,5,115,A. fumigatus snoRNA Afu_304
Afu_309,RF01512,Gene; sRNA;,10,130,A. fumigatus sRNA Afu_309
Afu_328,RF02403,Gene; snRNA; snoRNA; CD-box;,4,10,A. fumigatus snoRNA Afu_328
Afu_335,RF01513,Gene; snRNA; snoRNA; CD-box;,5,126,A. fumigatus snoRNA Afu_335
Afu_455,RF01860,Gene; snRNA; snoRNA; CD-box;,6,112,A. fumigatus snoRNA Afu_455
Afu_513,RF01514,Gene; snRNA; snoRNA; CD-box;,7,123,A. fumigatus snoRNA Afu_513
Afu_514,RF01515,Gene; snRNA; snoRNA; CD-box;,5,124,A. fumigatus snoRNA Afu_514
AHBV_epsilon,RF01313,Cis-reg;,10,63,Avian HBV RNA encapsidation signal epsilon
Alfamo_CPB,RF00252,Cis-reg;,18,42,Alfalfa mosaic virus coat protein binding (CPB) RNA
ALIL,RF01497,Cis-reg;,26,2974,ALIL pseudoknot
Alpha_RBS,RF00140,Cis-reg;,39,1017,Alpha operon ribosome binding site
alpha_tmRNA,RF01849,Gene;,111,2078,Alphaproteobacteria transfer-messenger RNA
AMV_RNA1_SL,RF00196,Cis-reg;,6,11,Alfalfa mosaic virus RNA 1 5' UTR stem-loop
AniS,RF02274,Gene;,5,66,AniS
Anti-Q_RNA,RF00388,Gene; antisense;,6,65,Anti-Q RNA
Antizyme_FSE,RF00381,Cis-reg; frameshift_element;,13,328,Antizyme RNA frameshifting stimulation element
ApoB_5_CRE,RF00463,Cis-reg;,5,29,Apolipoprotein B (apoB) 5' UTR cis-regulatory element
ar14,RF02344,Gene; sRNA;,118,366,Alphaproteobacterial ar14
ar15,RF02345,Gene; sRNA;,61,207,Alphaproteobacterial ar15
ar35,RF02346,Gene; sRNA;,13,138,Alphaproteobacterial sRNA ar35
ar45,RF02347,Gene; sRNA;,36,138,Alphaproteobacterial sRNA ar45
ar7,RF02342,Gene; sRNA;,29,87,Alphaproteobacterial sRNA ar7
ar9,RF02343,Gene; sRNA;,28,96,Alphaproteobacterial sRNA ar9
Archaea_SRP,RF01857,Gene;,53,273,Archaeal signal recognition particle RNA
ArcZ,RF00081,Gene; sRNA;,9,478,ArcZ RNA
Arthropod_7SK,RF01052,Gene;,19,80,Arthropod 7SK RNA
AS1726,RF01779,Gene;,2,59,AS1726 sRNA
AS1890,RF01780,Gene;,2,62,AS1890 sRNA
asd,RF01732,Gene; sRNA;,31,433,asd RNA
ASdes,RF01781,Gene; sRNA;,26,375,ASdes TB sRNA
ASpks,RF01782,Gene; antisense;,77,3251,ASpks TB sRNA
astro_FSE,RF01833,Cis-reg; frameshift_element;,4,28,ribosomal frameshift site
asX1,RF02235,Gene; sRNA;,15,45,Xanthomonadaceae sRNA asX1
asX2,RF02236,Gene; sRNA;,2,6,Xanthomonas sRNA asX2
asX3,RF02237,Gene; sRNA;,4,15,Xanthomonas sRNA asX3
asX4,RF02238,Gene; sRNA;,8,22,Xanthomonas sRNA asX4/Xoo4
asX6,RF02239,Gene; sRNA;,3,7,Xanthomonas sRNA asX6
atoC,RF01733,Cis-reg;,8,12,atoC RNA
ATPC,RF01067,Gene;,90,147,ATPC RNA motif
Atu_At1,RF02496,Gene; sRNA;,33,59,Rhizobiales sRNA Atu_At1
Atu_C10,RF02497,Gene; sRNA;,2,6,Rhizobiales sRNA Atu_C10
Atu_C3,RF02498,Gene; sRNA;,2,6,Rhizobiales sRNA Atu_C3
Atu_C4,RF02499,Gene; sRNA;,2,6,Rhizobiales sRNA Atu_C4
Atu_C6,RF02500,Gene; sRNA;,32,58,Rhizobiales sRNA Atu_C6
Atu_C7,RF02501,Gene; sRNA;,3,24,Rhizobiales sRNA Atu_C7
Atu_C8,RF02502,Gene; sRNA;,27,106,Rhizobiales sRNA Atu_C8
Atu_C9,RF02503,Gene; sRNA;,9,81,Rhizobiales sRNA Atu_C9
Atu_L1,RF02504,Gene; sRNA;,4,14,Rhizobiales sRNA Atu_L1
Atu_L6,RF02505,Gene; sRNA;,3,4,Rhizobiales sRNA Atu_L6
Atu_Ti1,RF02506,Gene; sRNA;,14,25,Rhizobiales sRNA Atu_Ti1
Atu_Ti3,RF02507,Gene; sRNA;,4,23,Rhizobiales sRNA Atu_Ti3
Atu_Ti4,RF02508,Gene; sRNA;,3,9,Rhizobiales sRNA Atu_Ti4
b55,RF01783,Gene; sRNA;,2,60,Mycobacterium B11
bablM,RF01784,Gene; sRNA;,12,489,bablM sRNA
Bacillaceae-1,RF01690,Gene; sRNA;,95,461,Bacillaceae-1 RNA
Bacillus-plasmid,RF01691,Gene; sRNA;,31,213,Bacillus-plasmid RNA
Bacteria_large_SRP,RF01854,Gene;,92,854,Bacterial large signal recognition particle RNA
