ID	Len	GC	Group
RF01859_AACY021111109.1	125	0.480	RF01859
RF01859_AAKB02000001.1	126	0.452	RF01859
RF01859_AAKK02000051.1	121	0.397	RF01859
RF01859_AALC01000066.1	126	0.413	RF01859
RF01859_AALD01000064.1	125	0.416	RF01859
RF01859_AALE01000042.1	125	0.408	RF01859
RF01859_AALF01000001.1	123	0.415	RF01859
RF01859_AAOH01000006.1	122	0.393	RF01859
RF01859_AAPH01000053.1	124	0.411	RF01859
RF01859_AAPS01000032.1	121	0.388	RF01859
RF01859_AAUB01000228.1	127	0.417	RF01859
RF01859_AAWF01000042.1	123	0.398	RF01859
RF01859_AAWY01000002.1	114	0.386	RF01859
RF01859_AAZW01000034.1	122	0.361	RF01859
RF01859_ABAN01000011.1	124	0.427	RF01859
RF01859_ABCH01000026.1	120	0.392	RF01859
RF01859_ABHW01000042.1	126	0.452	RF01859
RF01859_ABJD02000101.1	125	0.424	RF01859
RF01859_ABKQ02015361.1	127	0.449	RF01859
RF01859_ABKX01000001.1	124	0.444	RF01859
RF01859_ABVP01000026.1	124	0.387	RF01859
RF01859_ABVX01000063.1	126	0.421	RF01859
RF01859_ABVY01000102.1	126	0.405	RF01859
RF01859_ABWL01000037.1	126	0.476	RF01859
RF01859_ABWM01000064.1	125	0.456	RF01859
RF01859_ABXV01000018.1	120	0.308	RF01859
RF01859_ABXW01000077.1	120	0.350	RF01859
RF01859_ACCI01000196.1	118	0.347	RF01859
RF01859_ACCV01000159.1	120	0.417	RF01859
RF01859_ACDJ01000007.1	125	0.456	RF01859
RF01859_ACFN01000146.1	122	0.393	RF01859
RF01859_ACLE01000020.1	123	0.398	RF01859
RF01859_ACNS01000001.1	123	0.415	RF01859
RF01859_AE014075.1	125	0.472	RF01859
RF01859_AE014299.1	119	0.412	RF01859
RF01859_AE016795.2	122	0.410	RF01859
RF01859_AM286415.1	125	0.408	RF01859
RF01859_AM933172.1	126	0.468	RF01859
RF01859_AP008232.1	126	0.476	RF01859
RF01859_BAAW01013391.1	126	0.468	RF01859
RF01859_BX571867.1	125	0.408	RF01859
RF01859_BX936398.1	125	0.416	RF01859
RF01859_BX950851.1	126	0.397	RF01859
RF01859_CAAQ01002953.1	127	0.480	RF01859
RF01859_CP000034.1	127	0.457	RF01859
RF01859_CP000036.1	126	0.468	RF01859
RF01859_CP000447.1	122	0.369	RF01859
RF01859_CP000462.1	135	0.504	RF01859
RF01859_CP000472.1	119	0.429	RF01859
RF01859_CP000507.1	126	0.397	RF01859
RF01859_CP000606.1	120	0.383	RF01859
RF01859_CP000644.1	123	0.520	RF01859
RF01859_CP000647.1	125	0.480	RF01859
RF01859_CP000653.1	126	0.452	RF01859
RF01859_CP000783.1	125	0.512	RF01859
RF01859_CP000789.1	122	0.393	RF01859
RF01859_CP000821.1	122	0.393	RF01859
RF01859_CP000822.1	125	0.456	RF01859
RF01859_CP000826.1	127	0.449	RF01859
RF01859_CP000851.1	119	0.387	RF01859
RF01859_CP000880.1	125	0.464	RF01859
RF01859_CP000891.1	117	0.393	RF01859
RF01859_CP000901.1	128	0.398	RF01859
RF01859_CP000931.1	121	0.388	RF01859
RF01859_CP000961.1	122	0.410	RF01859
RF01859_CP000964.1	125	0.480	RF01859
RF01859_CP001113.1	126	0.476	RF01859
RF01859_CP001252.1	118	0.398	RF01859
RF01859_CU468135.1	134	0.455	RF01859
RF01859_CU928158.2	126	0.468	RF01859
RF01859_CU928163.2	125	0.472	RF01859
RF01859_X60420.1	125	0.464	RF01859
