ID	Len	GC	Group
RF01063_AABR04075496.1	87	0.563	RF01063
RF01063_AACZ02168243.1	80	0.637	RF01063
RF01063_AADB02020194.1	85	0.565	RF01063
RF01063_AADN02039783.1	87	0.678	RF01063
RF01063_AAEX02012488.1	83	0.687	RF01063
RF01063_AAFC03042919.1	83	0.627	RF01063
RF01063_AAFR03067163.1	96	0.604	RF01063
RF01063_AAGU02385202.1	86	0.558	RF01063
RF01063_AAGV020467134.1	88	0.636	RF01063
RF01063_AAGW01666797.1	85	0.576	RF01063
RF01063_AAHY01061122.1	87	0.552	RF01063
RF01063_AAIY01254038.1	86	0.488	RF01063
RF01063_AAKN02046420.1	81	0.469	RF01063
RF01063_AALT01061681.1	83	0.566	RF01063
RF01063_AANG01159285.1	83	0.663	RF01063
RF01063_AANN01418905.1	87	0.494	RF01063
RF01063_AANU01182163.1	85	0.576	RF01063
RF01063_AAPE01106283.1	81	0.667	RF01063
RF01063_AAPN01128637.1	88	0.705	RF01063
RF01063_AAPY01538154.1	85	0.565	RF01063
RF01063_AAQQ01016878.1	86	0.558	RF01063
RF01063_AAQR01480499.1	93	0.473	RF01063
RF01063_AAVX01084657.1	86	0.674	RF01063
RF01063_AAWR02013375.1	82	0.610	RF01063
RF01063_AAWZ01050261.1	79	0.456	RF01063
RF01063_AAYZ01231253.1	86	0.523	RF01063
RF01063_ABDC01480960.1	85	0.518	RF01063
